date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:33	349966/349966	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2012:46:26%20GMT	https://www.w3schools.com/js/	G:/DOCUMENTOS%20DISCO%20LOCAL%20C/INSTITUTO%202023-2024/INSTITUTO%2023-24/INSTITUTO/CLIENTE/2%c2%baTRIMESTRE/CONTENIDO%20EXAMEN/WEBS/DOM,EVENTOSY%20BUBBLING/www.w3schools.com/js/index.html	(from )
14:54:33	166/166	U-----	200	untouched ('OK')	text/plain	etag:%2208bea5615bda1:0%22	https://www.w3schools.com/robots.txt		(from )
14:54:34	3065/3065	---M--	200	added ('OK')	image/png	etag:%2208bea5615bda1:0%22	https://www.w3schools.com/apple-touch-icon.png	G:/DOCUMENTOS%20DISCO%20LOCAL%20C/INSTITUTO%202023-2024/INSTITUTO%2023-24/INSTITUTO/CLIENTE/2%c2%baTRIMESTRE/CONTENIDO%20EXAMEN/WEBS/DOM,EVENTOSY%20BUBBLING/www.w3schools.com/apple-touch-icon.png	(from https://www.w3schools.com/js/)
14:54:34	1408/1408	---M--	200	added ('OK')	image/png	etag:%2208bea5615bda1:0%22	https://www.w3schools.com/favicon-32x32.png	G:/DOCUMENTOS%20DISCO%20LOCAL%20C/INSTITUTO%202023-2024/INSTITUTO%2023-24/INSTITUTO/CLIENTE/2%c2%baTRIMESTRE/CONTENIDO%20EXAMEN/WEBS/DOM,EVENTOSY%20BUBBLING/www.w3schools.com/favicon-32x32.png	(from https://www.w3schools.com/js/)
14:54:34	912/912	---M--	200	added ('OK')	image/png	etag:%2208bea5615bda1:0%22	https://www.w3schools.com/favicon-16x16.png	G:/DOCUMENTOS%20DISCO%20LOCAL%20C/INSTITUTO%202023-2024/INSTITUTO%2023-24/INSTITUTO/CLIENTE/2%c2%baTRIMESTRE/CONTENIDO%20EXAMEN/WEBS/DOM,EVENTOSY%20BUBBLING/www.w3schools.com/favicon-16x16.png	(from https://www.w3schools.com/js/)
14:54:34	4933/4933	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:%2208bea5615bda1:0+gzip%22	https://www.w3schools.com/lib/topnav/main.css?v=1.0.30	G:/DOCUMENTOS%20DISCO%20LOCAL%20C/INSTITUTO%202023-2024/INSTITUTO%2023-24/INSTITUTO/CLIENTE/2%c2%baTRIMESTRE/CONTENIDO%20EXAMEN/WEBS/DOM,EVENTOSY%20BUBBLING/www.w3schools.com/lib/topnav/main5ab0.css	(from https://www.w3schools.com/js/)
14:54:35	4028/4028	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	etag:%2208bea5615bda1:0+gzip%22	https://www.w3schools.com/lib/pathfinder/main.css?v=1.0.2	G:/DOCUMENTOS%20DISCO%20LOCAL%20C/INSTITUTO%202023-2024/INSTITUTO%2023-24/INSTITUTO/CLIENTE/2%c2%baTRIMESTRE/CONTENIDO%20EXAMEN/WEBS/DOM,EVENTOSY%20BUBBLING/www.w3schools.com/lib/pathfinder/main0ff5.css	(from https://www.w3schools.com/js/)
14:54:35	70680/70680	---M-Z	200	added ('OK')	text/css	etag:%2208bea5615bda1:0+gzip%22	https://www.w3schools.com/lib/w3schools32.css?v=1.0.1	G:/DOCUMENTOS%20DISCO%20LOCAL%20C/INSTITUTO%202023-2024/INSTITUTO%2023-24/INSTITUTO/CLIENTE/2%c2%baTRIMESTRE/CONTENIDO%20EXAMEN/WEBS/DOM,EVENTOSY%20BUBBLING/www.w3schools.com/lib/w3schools32f700.css	(from https://www.w3schools.com/js/)
14:54:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2011%20Feb%202024%2013:54:46%20GMT	https://www.googletagmanager.com/gtm.js?id=	G:/DOCUMENTOS%20DISCO%20LOCAL%20C/INSTITUTO%202023-2024/INSTITUTO%2023-24/INSTITUTO/CLIENTE/2%c2%baTRIMESTRE/CONTENIDO%20EXAMEN/WEBS/DOM,EVENTOSY%20BUBBLING/www.googletagmanager.com/gtm.65445.delayed	(from https://www.w3schools.com/js/)
14:54:36	73142/73142	---M-Z	200	added ('OK')	application/javascript	etag:%2208bea5615bda1:0+gzip%22	https://www.w3schools.com/lib/uic.js?v=1.0.5	G:/DOCUMENTOS%20DISCO%20LOCAL%20C/INSTITUTO%202023-2024/INSTITUTO%2023-24/INSTITUTO/CLIENTE/2%c2%baTRIMESTRE/CONTENIDO%20EXAMEN/WEBS/DOM,EVENTOSY%20BUBBLING/www.w3schools.com/lib/uic3447.js	(from https://www.w3schools.com/js/)
14:54:36	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Feb%202024%2013:54:46%20GMT	https://www.w3schools.com/js/numpy/	G:/DOCUMENTOS%20DISCO%20LOCAL%20C/INSTITUTO%202023-2024/INSTITUTO%2023-24/INSTITUTO/CLIENTE/2%c2%baTRIMESTRE/CONTENIDO%20EXAMEN/WEBS/DOM,EVENTOSY%20BUBBLING/www.w3schools.com/js/numpy/index.html	(from https://www.w3schools.com/js/)
14:54:36	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Feb%202024%2013:54:46%20GMT	https://www.w3schools.com/js/python/	G:/DOCUMENTOS%20DISCO%20LOCAL%20C/INSTITUTO%202023-2024/INSTITUTO%2023-24/INSTITUTO/CLIENTE/2%c2%baTRIMESTRE/CONTENIDO%20EXAMEN/WEBS/DOM,EVENTOSY%20BUBBLING/www.w3schools.com/js/python/index.html	(from https://www.w3schools.com/js/)
14:54:36	9466/9466	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Feb%202024%2013:54:46%20GMT	https://www.w3schools.com/js/pandas/	G:/DOCUMENTOS%20DISCO%20LOCAL%20C/INSTITUTO%202023-2024/INSTITUTO%2023-24/INSTITUTO/CLIENTE/2%c2%baTRIMESTRE/CONTENIDO%20EXAMEN/WEBS/DOM,EVENTOSY%20BUBBLING/www.w3schools.com/js/pandas/index.html	(from https://www.w3schools.com/js/)
14:54:36	0/-1	---MCZ	200	added ('OK')	application/javascript	etag:W/%225308-610512e11254d%22	https://cdn.snigelweb.com/adengine/w3schools.com/loader.js	G:/DOCUMENTOS%20DISCO%20LOCAL%20C/INSTITUTO%202023-2024/INSTITUTO%2023-24/INSTITUTO/CLIENTE/2%c2%baTRIMESTRE/CONTENIDO%20EXAMEN/WEBS/DOM,EVENTOSY%20BUBBLING/cdn.snigelweb.com/adengine/w3schools.com/loader.js	(from https://www.w3schools.com/js/)
